Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-June-2017,193.90,195.45,190.60,192.30,192.933572603696589248,870424,5115,167934012.00,124451,14.30,4.85,-1.60
16-June-2017,193.70,198.30,191.50,193.25,195.025963495228940328,1715447,10578,334556704.00,170279,9.93,6.80,-0.45
15-June-2017,188.25,193.00,188.25,192.10,191.255790667876088024,1539028,7893,294348017.00,131993,8.58,4.75,3.85
14-June-2017,184.90,189.65,183.25,187.55,185.589297596950032771,799484,4871,148375674.00,127084,15.90,6.40,2.65
13-June-2017,184.70,187.55,184.15,185.05,185.672610360010423382,817393,4190,151767492.00,201358,24.63,3.40,0.35
12-June-2017,182.60,188.20,182.15,183.85,185.089161853712872048,1624955,8526,300761559.00,325766,20.05,6.05,1.25
9-June-2017,174.10,185.45,174.10,184.60,181.042058969032662739,1524122,9586,275930185.00,202737,13.30,11.35,10.50
8-June-2017,174.05,179.40,171.60,176.05,176.451036916634477704,1157229,6850,204194257.00,150007,12.96,7.80,2.00
7-June-2017,175.35,179.60,173.05,174.60,175.865334606035041333,919828,5847,161765859.00,67298,7.32,6.55,-0.75
6-June-2017,178.10,178.35,171.90,175.35,175.128310574571301992,814851,4618,142703479.00,118171,14.50,6.45,-2.75
5-June-2017,175.00,179.25,174.80,177.20,177.489392243651303675,692465,4012,122905192.00,93627,13.52,4.45,2.20
2-June-2017,177.90,178.40,174.40,175.85,176.394278765964181793,657096,3535,115907975.00,63389,9.65,4.00,-2.05
1-June-2017,179.05,181.50,175.90,176.80,177.985190327848802492,833982,4392,148436445.00,97798,11.73,5.60,-2.25
31-May-2017,179.00,183.65,177.10,179.65,180.648094179805434417,1335488,7007,241253362.00,170865,12.79,6.55,0.65
30-May-2017,175.00,180.85,170.55,180.15,176.348073093354075968,1718843,9550,303114651.00,102233,5.95,10.30,5.15
29-May-2017,188.90,192.50,175.15,176.10,181.239655488028117448,2185120,11151,396030396.00,239017,10.94,17.35,-12.80
26-May-2017,195.10,197.25,192.60,194.40,194.620497997711310381,794341,4843,154595041.00,112789,14.20,4.65,-0.70
25-May-2017,191.65,196.00,188.20,194.60,192.140161196685591067,795798,4552,152904756.00,71353,8.97,7.80,2.95
24-May-2017,197.80,199.40,186.75,190.25,191.795792037025084901,1378957,6917,264478150.00,115398,8.37,12.65,-7.55
23-May-2017,205.00,206.40,192.55,197.65,199.085596495088361269,1327052,7584,264196939.00,177403,13.37,13.85,-7.35
22-May-2017,208.25,211.40,204.25,205.20,207.981740383214534309,741308,3654,154178528.00,69974,9.44,7.15,-3.05
19-May-2017,208.00,212.50,200.80,207.45,207.511182763052275648,961748,5517,199573465.00,60732,6.31,11.70,-0.55
